日付,スコア,品質,タイム,就寝時刻,起床時刻
2023/07/28,87,良い,7h 7m,23:09,6:30
2023/07/27,96,非常に良い,8h 11m,22:11,6:33
2023/07/26,57,悪い,3h 52m,0:38,4:30
2023/07/25,86,良い,6h 18m,0:11,6:29
2023/07/24,73,普通,5h 36m,0:55,6:33
2023/07/23,69,普通,5h 21m,1:02,6:23
2023/07/22,81,良い,7h 17m,22:10,6:25
2023/07/21,94,非常に良い,11h 6m,19:24,6:30
2023/07/20,63,普通,5h 4m,1:07,6:20
2023/07/19,95,非常に良い,8h 58m,21:22,6:30
2023/07/18,66,普通,4h 54m,1:36,6:30
2023/07/17,89,良い,8h 3m,21:50,6:21
2023/07/16,31,悪い,3h 33m,9:02,12:35
2023/07/15,73,普通,6h 17m,0:06,6:33
2023/07/14,67,普通,5h 13m,1:10,6:29
2023/07/13,86,良い,7h 48m,21:38,6:27
2023/07/12,84,良い,5h 59m,0:34,6:33
2023/07/11,82,良い,6h 46m,23:24,6:33
2023/07/10,66,普通,5h 13m,0:57,6:34
2023/07/09,23,悪い,3h 10m,9:02,12:22
2023/07/08,87,良い,6h 26m,0:07,6:33
2023/07/07,60,普通,5h 16m,1:00,6:33
2023/07/06,46,悪い,3h 37m,1:25,5:02
2023/07/05,88,良い,6h 42m,23:46,6:29
2023/07/04,67,普通,5h 21m,0:51,6:33
2023/07/03,92,非常に良い,7h 46m,22:43,6:34
2023/07/02,79,普通,6h 45m,23:36,6:27
2023/07/01,79,普通,7h 12m,23:06,6:34
2023/06/30,88,良い,7h 46m,22:29,6:28
2023/06/29,79,普通,6h 58m,23:30,6:33
2023/06/28,73,普通,6h 2m,22:55,5:22
2023/06/27,84,良い,6h 30m,23:50,6:30
2023/06/26,84,良い,6h 6m,0:08,6:31
2023/06/25,89,良い,8h 10m,22:17,6:32
2023/06/24,65,普通,5h 14m,1:16,6:30
2023/06/23,82,良い,6h 19m,0:06,6:31
2023/06/22,57,悪い,4h 54m,1:31,6:33
2023/06/21,85,良い,6h 17m,0:16,6:33
2023/06/20,74,普通,5h 48m,0:39,6:33
2023/06/19,69,普通,5h 59m,0:09,6:22
2023/06/18,82,良い,6h 24m,23:50,6:33
2023/06/17,87,良い,6h 45m,23:40,6:33
2023/06/16,90,非常に良い,7h 21m,0:22,8:22
2023/06/15,74,普通,5h 38m,0:51,6:29
2023/06/14,79,普通,6h 15m,23:52,6:29
2023/06/13,76,普通,6h 7m,0:04,6:29
2023/06/12,89,良い,9h 15m,21:01,6:33
2023/06/11,62,普通,4h 45m,1:46,6:34
2023/06/10,70,普通,5h 28m,1:05,6:33
2023/06/09,87,良い,6h 37m,23:52,6:32
2023/06/08,80,良い,6h 3m,0:22,6:31
2023/06/07,78,普通,6h 6m,0:24,6:30
2023/06/06,81,良い,6h 18m,23:59,6:33
2023/06/05,91,非常に良い,6h 59m,23:34,6:33
2023/06/04,91,非常に良い,10h 46m,23:58,11:27
2023/06/03,84,良い,6h 29m,23:41,6:33
2023/06/02,83,良い,6h 32m,23:34,6:33
2023/06/01,83,良い,5h 54m,0:39,6:33
2023/05/31,88,良い,8h 15m,23:24,8:06
2023/05/30,66,普通,5h 14m,0:47,6:33
2023/05/29,90,非常に良い,8h 3m,22:20,6:34
2023/05/28,79,普通,7h 4m,2:00,10:11
2023/05/27,83,良い,6h 9m,23:25,5:54
2023/05/26,87,良い,6h 45m,23:45,6:30
2023/05/25,94,非常に良い,8h 41m,21:44,6:33
2023/05/24,93,非常に良い,7h 44m,22:46,6:30
2023/05/23,88,良い,6h 30m,0:03,6:33
2023/05/22,89,良い,7h 43m,0:23,8:31
2023/05/21,86,良い,6h 35m,23:36,6:27
2023/05/20,72,普通,5h 33m,0:31,6:16
2023/05/19,90,非常に良い,6h 50m,23:40,6:30
2023/05/18,83,良い,5h 53m,0:28,6:30
2023/05/17,78,普通,6h 27m,23:24,6:33
2023/05/16,85,良い,6h 12m,0:17,6:29
2023/05/15,68,普通,5h 15m,1:18,6:33
2023/05/14,66,普通,4h 48m,1:46,6:34
2023/05/13,79,普通,6h 19m,23:28,6:33
2023/05/12,79,普通,6h 20m,23:51,6:34
2023/05/11,80,良い,5h 55m,0:20,6:33
2023/05/10,93,非常に良い,9h 24m,0:24,10:23
2023/05/09,59,悪い,4h 22m,14:16,18:38
2023/05/08,69,普通,5h 16m,23:34,4:56
2023/05/07,78,普通,6h 1m,--,6:34
2023/05/06,94,非常に良い,7h 42m,22:51,6:33
2023/05/05,65,普通,4h 44m,1:29,6:19
2023/05/04,86,良い,7h 9m,22:50,6:32
2023/05/03,--,--,--,--,--
2023/05/02,88,良い,6h 56m,23:23,6:33
2023/05/01,79,普通,6h 13m,23:49,6:30
2023/04/30,71,普通,5h 23m,22:42,4:05
2023/04/29,74,普通,6h 5m,22:31,5:52
2023/04/28,66,普通,4h 48m,22:40,3:28
2023/04/27,92,非常に良い,7h 29m,22:38,6:27
2023/04/26,66,普通,5h 0m,23:26,4:37
2023/04/25,91,非常に良い,8h 20m,21:49,6:09
2023/04/24,79,普通,5h 56m,0:27,6:23
2023/04/23,85,良い,6h 24m,23:39,6:30
2023/04/22,62,普通,4h 18m,2:12,6:30
2023/04/21,91,非常に良い,7h 38m,22:32,6:32
2023/04/20,--,--,6h 59m,1:22,8:33
2023/04/19,--,--,6h 14m,0:15,6:31
2023/04/18,--,--,8h 37m,21:41,6:34
2023/04/17,--,--,7h 13m,23:09,6:30
2023/04/16,--,--,7h 22m,23:08,6:33
2023/04/15,--,--,6h 50m,23:39,6:30
2023/04/14,--,--,6h 40m,23:23,6:06
2023/04/13,--,--,--,--,--
2023/04/12,--,--,7h 29m,21:34,6:34
2023/04/11,--,--,8h 4m,22:27,6:34
2023/04/10,--,--,5h 41m,0:47,6:33
2023/04/09,--,--,9h 9m,21:13,6:28
2023/04/08,--,--,7h 30m,22:49,6:23
2023/04/07,--,--,5h 12m,1:19,6:31
2023/04/06,--,--,6h 45m,23:49,6:34
2023/04/05,--,--,6h 26m,0:05,6:33
2023/04/04,--,--,6h 49m,23:40,6:34
2023/04/03,--,--,7h 0m,23:30,6:33
2023/04/02,--,--,19h 56m,14:51,12:11
2023/04/01,--,--,5h 30m,1:03,6:33
2023/03/31,--,--,7h 5m,23:19,6:33
2023/03/30,--,--,7h 7m,23:24,6:33
2023/03/29,--,--,7h 16m,23:10,6:31
2023/03/28,--,--,5h 5m,1:28,6:33
2023/03/27,--,--,9h 53m,0:04,10:03
2023/03/26,--,--,5h 28m,1:05,6:33
2023/03/25,--,--,7h 49m,22:36,6:33
2023/03/24,--,--,9h 28m,23:30,9:09
2023/03/23,--,--,6h 38m,23:54,6:34
2023/03/22,--,--,9h 19m,20:57,6:30
2023/03/21,--,--,7h 47m,22:40,6:32
2023/03/20,--,--,4h 26m,2:07,6:33
2023/03/19,--,--,5h 21m,1:10,6:33
2023/03/18,--,--,6h 57m,23:36,6:33
2023/03/17,--,--,6h 40m,23:50,6:33
2023/03/16,--,--,5h 20m,1:11,6:32
2023/03/15,--,--,6h 57m,23:36,6:33
2023/03/14,--,--,7h 23m,1:42,9:22
2023/03/13,--,--,7h 35m,22:57,6:33
2023/03/12,--,--,7h 15m,0:39,8:02
2023/03/11,--,--,7h 35m,0:16,8:00
2023/03/10,--,--,6h 33m,23:56,6:33
2023/03/09,--,--,8h 4m,22:29,6:33
2023/03/08,--,--,5h 55m,0:31,6:30
2023/03/07,--,--,7h 4m,23:29,6:33
2023/03/06,--,--,9h 34m,22:14,7:50
2023/03/05,--,--,3h 22m,2:51,6:13
2023/03/04,--,--,--,--,--
2023/03/03,--,--,--,--,--
2023/03/02,--,--,5h 48m,0:26,6:15
2023/03/01,--,--,6h 26m,1:30,7:57
2023/02/28,--,--,7h 32m,23:03,6:35
2023/02/27,--,--,5h 57m,1:42,7:43
2023/02/26,--,--,--,--,--
2023/02/25,--,--,5h 55m,0:39,6:36
2023/02/24,--,--,4h 48m,1:48,6:52
2023/02/23,--,--,5h 15m,0:45,6:01
2023/02/22,--,--,7h 37m,23:52,7:35
2023/02/21,--,--,8h 55m,0:48,9:47
2023/02/20,--,--,7h 19m,22:56,6:20
2023/02/19,--,--,--,--,--
2023/02/18,--,--,8h 8m,22:45,6:54
2023/02/17,--,--,--,--,--
2023/02/16,--,--,10h 4m,23:04,9:36
2023/02/15,--,--,7h 47m,0:33,8:28
2023/02/14,--,--,11h 10m,21:21,9:42
2023/02/13,--,--,8h 37m,1:53,10:30
2023/02/12,--,--,9h 59m,21:48,7:50
2023/02/11,--,--,11h 28m,21:56,9:31
2023/02/10,--,--,7h 8m,1:47,8:55
2023/02/09,--,--,8h 39m,1:21,10:09
2023/02/08,--,--,6h 40m,2:50,9:37
2023/02/07,--,--,8h 40m,0:12,8:56
2023/02/06,--,--,5h 9m,2:32,7:42
2023/02/05,--,--,--,--,--
2023/02/04,--,--,7h 28m,2:27,10:03
2023/02/03,--,--,9h 18m,0:05,9:54
2023/02/02,--,--,5h 37m,3:17,8:55
2023/02/01,--,--,9h 22m,0:19,9:42
2023/01/31,--,--,--,--,--
