日付,スコア,品質,タイム,就寝時刻,起床時刻
2022/05/25,--,--,14h 25m,19:34,10:16
2022/05/24,--,--,7h 43m,0:46,8:30
2022/05/23,--,--,7h 32m,22:55,6:33
2022/05/22,--,--,7h 16m,23:08,6:44
2022/05/21,--,--,5h 1m,--,5:01
2022/05/20,--,--,9h 40m,21:37,7:29
2022/05/19,--,--,4h 25m,0:02,4:27
2022/05/18,--,--,5h 9m,23:22,4:34
2022/05/17,--,--,5h 42m,0:03,5:48
2022/05/16,--,--,4h 53m,1:49,6:46
2022/05/15,--,--,5h 13m,0:43,6:00
2022/05/14,--,--,8h 58m,21:06,6:12
2022/05/13,--,--,7h 16m,0:35,8:00
2022/05/12,--,--,8h 7m,23:25,7:33
2022/05/11,--,--,--,--,--
2022/05/10,--,--,6h 38m,23:19,5:59
2022/05/09,--,--,6h 47m,22:45,5:38
2022/05/08,--,--,4h 43m,0:04,4:48
2022/05/07,--,--,5h 9m,22:53,4:07
2022/05/06,--,--,--,--,--
2022/05/05,--,--,4h 44m,0:25,5:18
2022/05/04,--,--,6h 10m,23:35,6:12
2022/05/03,--,--,7h 10m,22:33,5:57
2022/05/02,--,--,7h 52m,22:04,6:09
2022/05/01,--,--,5h 21m,0:55,6:26
2022/04/30,--,--,5h 59m,3:07,9:06
2022/04/29,--,--,7h 58m,23:57,7:57
2022/04/28,--,--,8h 13m,0:27,8:43
2022/04/27,--,--,5h 19m,23:24,4:57
2022/04/26,--,--,5h 3m,1:06,6:10
2022/04/25,--,--,5h 19m,2:51,8:13
2022/04/24,--,--,9h 55m,23:24,9:23
2022/04/23,--,--,10h 17m,22:24,8:42
2022/04/22,--,--,8h 52m,22:02,6:57
2022/04/21,--,--,4h 48m,1:37,6:31
2022/04/20,--,--,7h 12m,23:43,7:00
2022/04/19,--,--,--,--,--
2022/04/18,--,--,6h 45m,0:20,7:09
2022/04/17,--,--,12h 45m,20:46,9:38
2022/04/16,--,--,9h 42m,22:53,8:36
2022/04/15,--,--,4h 46m,1:55,6:42
2022/04/14,--,--,5h 37m,2:41,8:18
2022/04/13,--,--,8h 12m,23:29,7:42
2022/04/12,--,--,5h 57m,0:24,6:34
2022/04/11,--,--,6h 45m,23:54,6:41
2022/04/10,--,--,10h 25m,20:52,7:41
2022/04/09,--,--,7h 16m,23:46,7:10
2022/04/08,--,--,--,--,--
2022/04/07,--,--,6h 21m,0:08,6:35
2022/04/06,--,--,--,--,--
2022/04/05,--,--,7h 59m,0:29,8:28
2022/04/04,--,--,8h 58m,0:59,9:59
2022/04/03,--,--,11h 7m,23:36,10:46
2022/04/02,--,--,9h 43m,21:52,7:44
2022/04/01,--,--,8h 16m,0:06,8:23
2022/03/31,--,--,6h 15m,3:08,9:47
2022/03/30,--,--,10h 18m,22:09,8:43
2022/03/29,--,--,10h 22m,22:58,9:24
2022/03/28,--,--,11h 14m,20:55,8:15
2022/03/27,--,--,14h 35m,21:11,11:48
2022/03/26,--,--,9h 1m,0:39,9:40
2022/03/25,--,--,--,--,--
2022/03/24,--,--,9h 6m,0:18,9:31
2022/03/23,--,--,6h 25m,2:39,9:09
2022/03/22,--,--,8h 13m,0:13,8:30
2022/03/21,--,--,13h 11m,21:50,11:14
2022/03/20,--,--,10h 19m,23:06,9:27
2022/03/19,--,--,9h 41m,23:32,9:19
2022/03/18,--,--,7h 42m,0:03,8:28
2022/03/17,--,--,8h 14m,23:14,7:53
2022/03/16,--,--,9h 10m,22:28,7:41
2022/03/15,--,--,9h 11m,22:56,8:19
2022/03/14,--,--,8h 3m,0:05,8:09
2022/03/13,--,--,8h 18m,23:37,7:57
2022/03/12,--,--,7h 58m,22:39,6:37
2022/03/11,--,--,7h 36m,0:54,9:21
2022/03/10,--,--,7h 45m,23:13,7:14
2022/03/09,--,--,--,--,--
2022/03/08,--,--,7h 53m,23:57,7:56
2022/03/07,--,--,7h 39m,1:48,9:29
2022/03/06,--,--,7h 26m,1:09,8:35
2022/03/05,--,--,10h 5m,23:29,9:51
2022/03/04,--,--,8h 55m,23:27,8:23
2022/03/03,--,--,9h 19m,23:44,9:04
2022/03/02,--,--,10h 38m,22:25,9:08
2022/03/01,--,--,4h 23m,1:39,6:08
2022/02/28,--,--,7h 1m,1:22,8:27
2022/02/27,--,--,7h 52m,0:34,8:31
2022/02/26,--,--,10h 29m,22:32,9:08
2022/02/25,--,--,4h 42m,4:10,8:52
2022/02/24,--,--,6h 35m,21:50,4:32
2022/02/23,--,--,3h 48m,2:18,6:06
2022/02/22,--,--,7h 37m,0:02,7:40
2022/02/21,--,--,5h 44m,1:33,7:17
2022/02/20,--,--,8h 17m,1:10,9:30
2022/02/19,--,--,4h 49m,23:28,4:17
2022/02/18,--,--,4h 43m,1:47,6:30
2022/02/17,--,--,8h 2m,23:09,7:27
2022/02/16,--,--,7h 1m,0:57,7:58
2022/02/15,--,--,4h 53m,1:10,6:04
2022/02/14,--,--,8h 43m,0:40,9:26
2022/02/13,--,--,7h 21m,0:41,8:04
2022/02/12,--,--,11h 53m,22:20,10:37
2022/02/11,--,--,5h 4m,1:22,6:26
2022/02/10,--,--,9h 22m,23:30,8:55
2022/02/09,--,--,6h 24m,1:30,7:54
2022/02/08,--,--,4h 26m,2:58,7:31
2022/02/07,--,--,9h 21m,23:44,9:08
2022/02/06,--,--,10h 8m,23:06,10:08
2022/02/05,--,--,9h 28m,1:00,10:31
2022/02/04,--,--,8h 32m,22:14,6:54
2022/02/03,--,--,11h 23m,21:16,8:39
2022/02/02,--,--,5h 44m,2:49,8:39
2022/02/01,--,--,6h 11m,23:59,6:10
2022/01/31,--,--,7h 44m,0:19,8:11
2022/01/30,--,--,10h 46m,22:51,9:45
2022/01/29,--,--,8h 14m,0:33,8:52
2022/01/28,--,--,5h 25m,22:26,3:56
2022/01/27,--,--,4h 12m,0:45,5:02
2022/01/26,--,--,8h 37m,22:09,6:48
2022/01/25,--,--,7h 1m,22:52,5:54
2022/01/24,--,--,5h 3m,0:48,5:52
2022/01/23,--,--,6h 57m,0:30,7:28
2022/01/22,--,--,3h 10m,0:37,3:47
2022/01/21,--,--,6h 5m,23:53,5:58
2022/01/20,--,--,4h 58m,0:19,5:18
2022/01/19,--,--,6h 11m,0:14,6:32
2022/01/18,--,--,6h 52m,23:35,6:31
2022/01/17,--,--,3h 52m,3:31,7:23
2022/01/16,--,--,15h 20m,20:30,12:02
2022/01/15,--,--,7h 26m,0:43,8:13
2022/01/14,--,--,7h 25m,0:12,7:38
2022/01/13,--,--,12h 40m,19:37,8:21
2022/01/12,--,--,7h 41m,1:16,8:59
2022/01/11,--,--,7h 22m,23:18,6:41
2022/01/10,--,--,4h 51m,3:07,8:10
2022/01/09,--,--,12h 47m,19:50,8:53
2022/01/08,--,--,6h 37m,1:41,8:18
2022/01/07,--,--,6h 12m,1:51,8:20
2022/01/06,--,--,8h 52m,23:19,8:14
2022/01/05,--,--,8h 53m,23:39,8:58
2022/01/04,--,--,9h 58m,23:53,9:55
2022/01/03,--,--,8h 37m,1:32,10:09
2022/01/02,--,--,10h 14m,0:55,11:12
2022/01/01,--,--,10h 54m,3:16,14:14
2021/12/31,--,--,7h 14m,--,7:16
2021/12/30,--,--,6h 41m,1:18,8:01
2021/12/29,--,--,12h 6m,23:22,11:35
2021/12/28,--,--,8h 3m,2:21,10:44
2021/12/27,--,--,11h 35m,21:47,10:06
2021/12/26,--,--,10h 32m,21:04,7:45
2021/12/25,--,--,3h 39m,0:22,4:01
2021/12/24,--,--,8h 2m,0:55,9:16
2021/12/23,--,--,9h 9m,23:25,8:50
2021/12/22,--,--,9h 11m,21:52,7:15
2021/12/21,--,--,6h 51m,1:00,7:52
2021/12/20,--,--,7h 15m,23:09,6:28
2021/12/19,--,--,6h 38m,0:24,7:13
2021/12/18,--,--,8h 49m,20:38,5:30
2021/12/17,--,--,10h 1m,22:41,9:01
2021/12/16,--,--,5h 39m,1:46,7:30
2021/12/15,--,--,6h 39m,23:40,6:35
2021/12/14,--,--,6h 29m,23:00,5:36
2021/12/13,--,--,6h 54m,0:36,7:46
2021/12/12,--,--,11h 17m,0:33,11:58
2021/12/11,--,--,10h 46m,22:58,9:46
2021/12/10,--,--,11h 27m,19:44,7:50
2021/12/09,--,--,8h 46m,23:45,9:00
2021/12/08,--,--,8h 23m,23:13,7:43
2021/12/07,--,--,9h 31m,23:06,8:39
2021/12/06,--,--,9h 30m,23:04,8:35
2021/12/05,--,--,7h 43m,3:22,11:05
2021/12/04,--,--,11h 11m,21:48,9:08
2021/12/03,--,--,7h 48m,23:35,7:29
2021/12/02,--,--,--,--,--
2021/12/01,--,--,11h 38m,22:19,9:58
2021/11/30,--,--,6h 45m,0:30,8:04
2021/11/29,--,--,9h 29m,23:15,8:49
2021/11/28,--,--,7h 2m,0:50,8:01
2021/11/27,--,--,8h 17m,23:28,8:12
2021/11/26,--,--,9h 55m,23:02,9:02
2021/11/25,--,--,9h 4m,22:45,8:41
2021/11/24,--,--,8h 24m,0:55,9:20
2021/11/23,--,--,10h 24m,23:21,9:47
2021/11/22,--,--,7h 9m,1:03,8:33
2021/11/21,--,--,10h 21m,0:03,10:27
2021/11/20,--,--,9h 6m,23:14,8:40
2021/11/19,--,--,8h 21m,23:35,7:56
2021/11/18,--,--,9h 17m,22:28,8:01
2021/11/17,--,--,8h 58m,0:52,9:52
2021/11/16,--,--,7h 37m,23:46,7:29
2021/11/15,--,--,9h 41m,23:30,9:15
2021/11/14,--,--,--,--,--
2021/11/13,--,--,10h 45m,21:28,8:16
2021/11/12,--,--,11h 41m,21:31,9:17
2021/11/11,--,--,--,--,--
2021/11/10,--,--,7h 58m,1:20,9:19
2021/11/09,--,--,11h 40m,22:08,9:49
2021/11/08,--,--,6h 25m,1:50,8:25
2021/11/07,--,--,12h 10m,22:00,10:13
2021/11/06,--,--,8h 22m,23:22,7:53
2021/11/05,--,--,7h 54m,0:53,8:49
2021/11/04,--,--,--,--,--
2021/11/03,--,--,7h 4m,2:04,9:32
2021/11/02,--,--,10h 58m,21:53,8:53
2021/11/01,--,--,5h 53m,23:48,6:48
2021/10/31,--,--,8h 23m,23:39,8:05
2021/10/30,--,--,5h 44m,2:15,8:23
2021/10/29,--,--,6h 33m,23:33,6:12
2021/10/28,--,--,8h 14m,22:59,7:13
2021/10/27,--,--,6h 15m,23:50,6:07
2021/10/26,--,--,4h 47m,1:42,6:36
2021/10/25,--,--,7h 53m,23:10,7:06
2021/10/24,--,--,11h 36m,22:41,10:35
2021/10/23,--,--,9h 31m,23:30,9:03
2021/10/22,--,--,5h 10m,4:24,9:34
2021/10/21,--,--,6h 36m,22:34,6:00
2021/10/20,--,--,7h 26m,23:24,6:59
2021/10/19,--,--,8h 45m,0:17,9:03
2021/10/18,--,--,7h 12m,2:00,9:12
2021/10/17,--,--,9h 30m,23:43,9:18
2021/10/16,--,--,8h 58m,21:59,7:01
2021/10/15,--,--,8h 31m,23:28,8:03
2021/10/14,--,--,5h 23m,0:43,6:08
2021/10/13,--,--,7h 36m,22:39,6:18
2021/10/12,--,--,6h 34m,22:55,5:30
2021/10/11,--,--,8h 56m,22:35,7:38
2021/10/10,--,--,6h 55m,23:10,6:06
2021/10/09,--,--,10h 37m,21:59,8:39
2021/10/08,--,--,6h 56m,23:12,6:14
2021/10/07,--,--,4h 38m,1:23,6:02
2021/10/06,--,--,9h 51m,20:38,6:35
2021/10/05,--,--,4h 41m,1:20,6:01
2021/10/04,--,--,6h 24m,23:26,5:59
2021/10/03,--,--,--,--,--
2021/10/02,--,--,--,--,--
2021/10/01,--,--,5h 22m,23:59,5:42
2021/09/30,--,--,7h 25m,23:07,6:34
2021/09/29,--,--,7h 48m,21:23,5:18
2021/09/28,--,--,6h 0m,0:30,6:31
2021/09/27,--,--,8h 1m,21:51,6:03
2021/09/26,--,--,9h 56m,21:59,7:57
2021/09/25,--,--,7h 48m,23:11,7:00
2021/09/24,--,--,6h 50m,0:44,7:38
2021/09/23,--,--,--,--,--
2021/09/22,--,--,--,--,--
2021/09/21,--,--,--,--,--
2021/09/20,--,--,--,--,--
2021/09/19,--,--,--,--,--
2021/09/18,--,--,--,--,--
2021/09/17,--,--,--,--,--
2021/09/16,--,--,--,--,--
2021/09/15,--,--,7h 44m,23:28,7:13
2021/09/14,--,--,9h 18m,20:48,6:35
2021/09/13,--,--,6h 29m,0:59,7:30
2021/09/12,--,--,--,--,--
2021/09/11,--,--,--,--,--
2021/09/10,--,--,--,--,--
2021/09/09,--,--,--,--,--
2021/09/08,--,--,--,--,--
2021/09/07,--,--,--,--,--
2021/09/06,--,--,7h 11m,23:25,6:40
2021/09/05,--,--,--,--,--
2021/09/04,--,--,--,--,--
2021/09/03,--,--,8h 46m,0:27,9:21
2021/09/02,--,--,--,--,--
2021/09/01,--,--,--,--,--
2021/08/31,--,--,--,--,--
2021/08/30,--,--,10h 54m,23:56,10:53
2021/08/29,--,--,8h 29m,0:13,8:45
2021/08/28,--,--,9h 49m,1:03,10:53
2021/08/27,--,--,7h 2m,23:24,6:40
2021/08/26,--,--,8h 12m,0:36,8:51
2021/08/25,--,--,6h 53m,1:52,8:54
2021/08/24,--,--,8h 11m,0:26,8:53
2021/08/23,--,--,7h 5m,0:23,7:40
2021/08/22,--,--,10h 42m,23:16,10:07
2021/08/21,--,--,8h 53m,0:45,9:43
2021/08/20,--,--,7h 37m,23:13,7:18
2021/08/19,--,--,10h 18m,22:02,8:27
2021/08/18,--,--,6h 5m,--,6:09
2021/08/17,--,--,7h 44m,0:15,8:07
2021/08/16,--,--,5h 46m,1:29,7:16
2021/08/15,--,--,11h 28m,22:03,9:38
2021/08/14,--,--,9h 13m,22:33,7:46
2021/08/13,--,--,8h 16m,23:08,7:29
2021/08/12,--,--,7h 13m,23:31,6:50
2021/08/11,--,--,8h 5m,22:24,6:43
2021/08/10,--,--,--,--,--
2021/08/09,--,--,7h 13m,23:06,6:19
2021/08/08,--,--,9h 56m,21:43,7:40
2021/08/07,--,--,3h 35m,5:33,9:08
2021/08/06,--,--,5h 1m,0:52,5:56
2021/08/05,--,--,7h 24m,22:17,5:53
2021/08/04,--,--,5h 36m,23:57,5:33
2021/08/03,--,--,7h 9m,22:51,6:02
2021/08/02,--,--,4h 8m,2:07,6:17
2021/08/01,--,--,8h 19m,23:29,8:28
2021/07/31,--,--,6h 26m,23:39,6:08
2021/07/30,--,--,5h 53m,0:14,6:09
2021/07/29,--,--,6h 58m,23:42,6:40
2021/07/28,--,--,5h 47m,0:20,6:09
2021/07/27,--,--,5h 54m,0:01,6:06
2021/07/26,--,--,8h 24m,21:25,6:06
2021/07/25,--,--,10h 5m,23:11,9:48
2021/07/24,--,--,11h 51m,21:57,9:53
2021/07/23,--,--,9h 57m,23:07,9:05
2021/07/22,--,--,11h 57m,22:03,10:02
2021/07/21,--,--,7h 16m,23:03,6:35
2021/07/20,--,--,8h 12m,23:32,7:51
2021/07/19,--,--,4h 50m,1:41,6:31
2021/07/18,--,--,6h 52m,1:03,8:00
2021/07/17,--,--,--,--,--
2021/07/16,--,--,8h 52m,21:06,6:26
2021/07/15,--,--,6h 50m,0:07,7:07
2021/07/14,--,--,7h 12m,22:45,6:00
2021/07/13,--,--,8h 25m,21:58,7:30
2021/07/12,--,--,5h 13m,1:54,7:08
2021/07/11,--,--,6h 10m,23:27,5:38
2021/07/10,--,--,8h 25m,23:19,7:44
2021/07/09,--,--,5h 8m,0:58,6:08
2021/07/08,--,--,4h 38m,1:27,6:06
2021/07/07,--,--,4h 44m,1:20,6:04
2021/07/06,--,--,6h 0m,1:17,7:20
2021/07/05,--,--,6h 33m,23:16,6:05
2021/07/04,--,--,4h 32m,4:35,9:14
2021/07/03,--,--,8h 21m,23:20,7:45
2021/07/02,--,--,5h 16m,1:48,7:09
2021/07/01,--,--,7h 9m,22:16,5:28
2021/06/30,--,--,9h 4m,22:59,8:07
2021/06/29,--,--,9h 21m,22:43,8:25
2021/06/28,--,--,5h 5m,1:52,7:22
2021/06/27,--,--,6h 41m,0:39,7:20
2021/06/26,--,--,5h 2m,1:05,6:10
2021/06/25,--,--,6h 38m,0:51,7:30
2021/06/24,--,--,7h 21m,0:40,8:10
2021/06/23,--,--,6h 48m,0:22,7:10
2021/06/22,--,--,7h 45m,22:12,6:11
2021/06/21,--,--,6h 8m,2:11,8:19
2021/06/20,--,--,13h 7m,21:20,10:29
2021/06/19,--,--,5h 46m,1:32,7:21
2021/06/18,--,--,5h 55m,1:30,7:26
2021/06/17,--,--,9h 47m,22:13,8:03
2021/06/16,--,--,7h 54m,23:30,7:28
2021/06/15,--,--,5h 11m,23:28,5:07
2021/06/14,--,--,7h 14m,0:14,7:31
2021/06/13,--,--,4h 9m,2:44,7:01
2021/06/12,--,--,7h 0m,0:22,7:22
2021/06/11,--,--,6h 29m,0:02,6:35
2021/06/10,--,--,6h 57m,23:57,7:00
2021/06/09,--,--,8h 5m,23:49,8:16
2021/06/08,--,--,6h 59m,1:13,8:15
2021/06/07,--,--,5h 27m,2:40,8:09
2021/06/06,--,--,8h 19m,22:21,6:40
2021/06/05,--,--,6h 56m,23:50,6:49
2021/06/04,--,--,6h 39m,23:35,6:15
2021/06/03,--,--,8h 44m,21:40,6:25
2021/06/02,--,--,10h 28m,21:00,7:32
2021/06/01,--,--,8h 30m,23:12,7:42
2021/05/31,--,--,10h 24m,22:03,8:32
2021/05/30,--,--,6h 55m,2:11,9:17
2021/05/29,--,--,7h 30m,22:10,5:49
2021/05/28,--,--,8h 54m,23:22,8:19
2021/05/27,--,--,6h 54m,23:23,6:23
2021/05/26,--,--,7h 39m,23:43,8:19
2021/05/25,--,--,5h 30m,0:20,5:54
2021/05/24,--,--,6h 7m,23:54,6:04
2021/05/23,--,--,8h 38m,22:56,7:36
2021/05/22,--,--,10h 25m,23:02,9:36
2021/05/21,--,--,6h 46m,0:23,7:09
2021/05/20,--,--,9h 9m,23:28,8:37
2021/05/19,--,--,8h 38m,22:38,7:16
2021/05/18,--,--,4h 54m,1:59,6:53
2021/05/17,--,--,6h 5m,0:19,6:28
2021/05/16,--,--,4h 54m,0:52,5:47
2021/05/15,--,--,5h 25m,0:47,6:13
2021/05/14,--,--,6h 1m,23:27,5:35
2021/05/13,--,--,5h 47m,23:46,5:36
2021/05/12,--,--,6h 21m,23:19,5:50
2021/05/11,--,--,5h 58m,23:35,5:38
2021/05/10,--,--,6h 8m,23:15,5:34
2021/05/09,--,--,7h 58m,2:47,10:58
2021/05/08,--,--,5h 52m,5:11,11:06
2021/05/07,--,--,8h 3m,22:37,6:42
2021/05/06,--,--,8h 50m,23:14,8:06
2021/05/05,--,--,13h 11m,18:16,7:37
2021/05/04,--,--,5h 50m,2:11,8:01
2021/05/03,--,--,--,--,--
2021/05/02,--,--,8h 40m,20:49,5:33
2021/05/01,--,--,9h 5m,23:16,8:44
2021/04/30,--,--,10h 10m,19:37,5:51
2021/04/29,--,--,--,--,--
2021/04/28,--,--,6h 59m,22:33,5:45
2021/04/27,--,--,8h 30m,21:48,6:20
2021/04/26,--,--,7h 7m,23:40,7:05
2021/04/25,--,--,6h 58m,22:37,5:35
2021/04/24,--,--,8h 4m,21:22,5:35
2021/04/23,--,--,7h 51m,21:47,5:39
2021/04/22,--,--,7h 20m,23:15,6:40
2021/04/21,--,--,4h 14m,2:25,6:39
2021/04/20,--,--,6h 5m,23:59,6:06
2021/04/19,--,--,7h 18m,22:35,6:02
2021/04/18,--,--,10h 5m,20:20,6:31
2021/04/17,--,--,7h 20m,22:11,5:32
2021/04/16,--,--,6h 13m,23:47,6:14
2021/04/15,--,--,7h 43m,23:44,7:42
2021/04/14,--,--,5h 44m,0:15,5:59
2021/04/13,--,--,8h 56m,21:25,6:23
2021/04/12,--,--,6h 19m,0:13,6:36
2021/04/11,--,--,8h 25m,23:01,7:28
2021/04/10,--,--,7h 34m,0:04,7:43
2021/04/09,--,--,7h 52m,22:37,6:31
2021/04/08,--,--,6h 57m,23:29,6:31
2021/04/07,--,--,6h 38m,23:46,6:24
2021/04/06,--,--,6h 43m,22:57,5:44
2021/04/05,--,--,7h 35m,22:54,6:31
2021/04/04,--,--,8h 51m,21:20,6:13
2021/04/03,--,--,6h 27m,23:00,5:29
2021/04/02,--,--,5h 51m,23:47,5:44
2021/04/01,--,--,6h 28m,22:42,5:28
2021/03/31,--,--,5h 51m,0:07,6:00
2021/03/30,--,--,6h 18m,23:04,5:40
2021/03/29,--,--,6h 30m,22:51,5:34
2021/03/28,--,--,7h 21m,23:02,7:17
2021/03/27,--,--,--,--,--
2021/03/26,--,--,7h 3m,22:12,5:18
2021/03/25,--,--,7h 9m,0:12,7:23
2021/03/24,--,--,3h 20m,2:59,6:25
2021/03/23,--,--,6h 34m,23:20,5:54
2021/03/22,--,--,3h 56m,1:08,5:14
2021/03/21,--,--,5h 39m,2:54,8:38
2021/03/20,--,--,6h 34m,1:06,7:42
2021/03/19,--,--,7h 16m,0:44,8:03
2021/03/18,--,--,--,--,--
2021/03/17,--,--,8h 28m,1:38,10:06
2021/03/16,--,--,7h 30m,23:32,7:05
2021/03/15,--,--,8h 40m,1:28,10:10
2021/03/14,--,--,9h 32m,2:31,12:04
2021/03/13,--,--,9h 43m,1:15,10:58
2021/03/12,--,--,8h 59m,23:48,8:51
2021/03/11,--,--,8h 42m,23:58,8:46
2021/03/10,--,--,8h 30m,0:49,9:47
2021/03/09,--,--,9h 35m,1:20,10:57
2021/03/08,--,--,4h 14m,1:27,5:49
2021/03/07,--,--,10h 20m,22:00,8:23
2021/03/06,--,--,8h 21m,23:30,7:55
2021/03/05,--,--,7h 19m,23:27,6:57
2021/03/04,--,--,6h 18m,2:56,9:14
2021/03/03,--,--,--,--,--
2021/03/02,--,--,--,--,--
2021/03/01,--,--,--,--,--
2021/02/28,--,--,4h 16m,2:53,7:11
2021/02/27,--,--,8h 26m,0:51,9:26
2021/02/26,--,--,5h 5m,2:12,7:17
2021/02/25,--,--,4h 14m,1:21,5:37
2021/02/24,--,--,7h 17m,1:09,8:29
2021/02/23,--,--,12h 37m,22:30,11:09
2021/02/22,--,--,9h 12m,23:18,8:34
2021/02/21,--,--,--,--,--
2021/02/20,--,--,--,--,--
2021/02/19,--,--,11h 16m,22:42,10:06
2021/02/18,--,--,8h 22m,0:34,8:59
2021/02/17,--,--,9h 7m,22:27,7:37
2021/02/16,--,--,8h 28m,22:50,7:29
2021/02/15,--,--,9h 49m,22:38,8:29
2021/02/14,--,--,8h 14m,0:38,8:55
2021/02/13,--,--,8h 52m,23:20,8:18
2021/02/12,--,--,9h 23m,0:10,9:48
2021/02/11,--,--,4h 53m,23:45,4:41
2021/02/10,--,--,2h 20m,3:57,6:17
2021/02/09,--,--,7h 2m,3:49,11:05
2021/02/08,--,--,10h 22m,23:09,9:32
2021/02/07,--,--,--,--,--
2021/02/06,--,--,8h 38m,1:32,10:21
2021/02/05,--,--,4h 30m,2:37,7:08
2021/02/04,--,--,--,--,--
2021/02/03,--,--,6h 39m,4:04,10:45
2021/02/02,--,--,10h 10m,1:20,11:33
2021/02/01,--,--,8h 16m,22:18,7:18
2021/01/31,--,--,10h 17m,2:10,12:51
2021/01/30,--,--,7h 45m,3:37,11:23
2021/01/29,--,--,7h 44m,19:53,3:37
2021/01/28,--,--,5h 43m,2:05,7:56
2021/01/27,--,--,8h 34m,1:58,10:45
2021/01/26,--,--,5h 0m,23:56,5:03
2021/01/25,--,--,7h 53m,2:50,10:43
2021/01/24,--,--,8h 1m,21:18,5:23
2021/01/23,--,--,7h 45m,2:43,10:51
2021/01/22,--,--,6h 36m,4:01,10:51
2021/01/21,--,--,6h 24m,0:55,7:24
2021/01/20,--,--,8h 17m,1:55,10:54
2021/01/19,--,--,6h 54m,3:08,10:15
2021/01/18,--,--,4h 23m,2:48,7:15
2021/01/17,--,--,12h 3m,21:17,9:35
2021/01/16,--,--,6h 26m,1:23,9:21
2021/01/15,--,--,--,--,--
2021/01/14,--,--,--,--,--
2021/01/13,--,--,3h 30m,2:25,6:17
2021/01/12,--,--,10h 30m,1:14,11:54
2021/01/11,--,--,12h 53m,22:27,11:35
2021/01/10,--,--,15h 6m,21:04,12:13
2021/01/09,--,--,10h 29m,0:52,11:24
2021/01/08,--,--,--,--,--
2021/01/07,--,--,--,--,--
2021/01/06,--,--,--,--,--
2021/01/05,--,--,7h 59m,2:51,10:53
2021/01/04,--,--,5h 46m,1:42,7:28
2021/01/03,--,--,8h 46m,2:58,11:52
2021/01/02,--,--,9h 10m,1:20,10:30
2021/01/01,--,--,4h 19m,6:04,
